,链接,标题,作者,日期,评论,回复
0,https://tieba.baidu.com/p/5608886134?pn=1,人工智能技术科学的发展历程,kechengzhong,2018-03-21 17:47,科学家对于人工智能发展有不一样的态度！,[]
1,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 00:03,加油,[]
2,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,Kang少女,2018-03-21 04:16,颜值即是正义,['看脸的社会']
3,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,AI世扬,2018-03-21 07:31,是的，不错,['恩']
4,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:41,"洗了头发.
就突然想剪回齐耳短发.
跟人心一样捂久了才会热.
听了一早上薛叔的歌.
这世界真脏.可因为你我竟然觉得它有点可爱.",[]
5,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:43,"我厌恶你们所谓的交际.
如果找我让你不爽了那就请你远离我.
之所以想把自己变成孤岛.
完全是因为没法应对有些友人.
孤独感我真的怕死.
所以被孤立的感觉我厌恶的要死.",[]
6,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:44,"我不知道为什么有点怕.
就是很想躲.很慌.
觉得可能是自己太闲了想的太多了.
会关机到七点钟给自己三个小时的时间.放空下自己.
就这样.暂且再见.",[]
7,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:45,"刚回家.
呼.今天晚上好冷的说.
跟发小们一起出去玩.
才发现真的还是真感情.
即便很久没见也不在一起上学.
可是还是一见面就可以熟络.
真的很好.共同经历这十几年.",[]
8,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:46,"我突然很丧.
很想逃想死掉.
很莫名很压抑很讨厌自己.
这人间这么美可我都不想去看了.
就想糊里糊涂颓废的过完这一生.
下辈子做粒浮尘.远离世俗.",[]
9,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:48,"生活真苦.
可那么一点甜头就够我们品尝着过完一生.
我不想要我的好了.
就想坏到众人唾弃世人横眉冷眼对待我.
落得个十恶不赦的罪名.
倒也不枉此生.",[]
10,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:49,"我情愿你从未遇到过我.
这样我们就会是远在岁月洪流对岸的人.
永无交集.
好过现在熟络又冷淡冷淡又熟络的死循环.
好过我现在后悔闯进你的人生.",[]
11,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:50,"我的差劲就不一一说给你听了.
说了什么乱七八糟的鬼话.
你别见意都是真的.
都是想要彻底扔掉的该.死的胆怯和要命的自卑.
以及十分不 要脸的自以为是.
希望没倒了你的胃口.",[]
12,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:51,,[]
13,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:53,"阳光很好飘着细雪.
我的喷嚏和咳嗽纠缠着我的嗓子.
长到肩膀下的头发随意披着.
我似乎是病了.",[]
14,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:54,"倒宁愿坐在窗前的椅子上.
就那样的坐着.默不吭声.
哪怕僵硬了四肢.
也不会抱怨一句天气真冷.
我在慢慢学会没有你.",[]
15,https://tieba.baidu.com/p/5607547232?pn=1,人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:55,"这个春节你期待吗.
还有这个情人节.
全世界只有一个的宁忘表示.
没有任何期待.
日子怎样都是过.但还是希望你开心点过.",[]
16,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:56,"朋友打电话约我明天出去玩.
互相拌嘴.互相嫌弃也互相在意.
一直以来都是我.
各种想逃各种不面对.
可能我就是这样的人吧.
与所有人都保持着微弱到不行的联系.",[]
17,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:58,"总觉得自己很厉害.
可以保护谁.可以做好什么.
但现实总是会狠狠给你一巴掌.
然后在某个不经意间塞给你颗糖.
承认吧.我们都是这人间的初学者.
一步一步.慢慢在学.",[]
18,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 09:59,"还是答应了赴那场约.
即便对自己仍旧没有信心和害怕应对.
还是做了那样的决定.
若是难堪我自己吞.
更希望自己以此为戒.
愿明天安.",[]
19,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:00,"现在的人都虚伪.
不止一次的和妈妈谈论过这个问题.
坦白讲我厌恶这样的社会和世道.
就好像老人摔倒要不要扶一样.
消费不起善良了.",[]
20,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:01,"真切感受还是有感而发.
不想太过计较.
生活总是要笑脸做陪衬.
才不算太糟糕.
道理都懂说服不了自己.",[]
21,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:03,"跟朋友去滑旱冰吓得要死.
无论她怎么安慰都还是超怕.
怂气到死.快吓哭自己.
怎么办呢.我就是做不到勇敢一点.",[]
22,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:04,"刚刚去客运站的时候在安检处有人打架.场面一度混乱.我和老友有点小怕.
忙不迭的跑开现场.
一群人围住打架者.看热闹的劝架的.
一个被拉出去的打架者嘟嚷着“农民怎么了农民.”
或许是醉酒或许是争执.
我只看到了冰山一角.
但那句话有些刺痛我.
就希望你醒时醉时都能记得.尊重两个字.
共勉之.",[]
23,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:05,"可能是疯闹了一天的原因.
又可能是归家晚的问题.
我有些丧.也提不起精神应对爸妈的提问.
这里的天气偏近傍晚就冷的不像话.
我的一天.始于安然忙于嬉闹疲于人际.",[]
24,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:07,"日子越熬越觉得亏欠.
什么都做不好什么都不想做.
总想急着证明什么.
转而一想为什么这样做呢.
我是完完整整真真切切的自己.
不是谁口中的谁.",[]
25,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:08,"毫无准备的迎接这个春节.
没有任何期待和兴奋感.
坦白讲我有点糟糕.
无论是对人还是对事.",[]
26,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:09,"慢慢在尝试每天对自己好点.
提醒自己多笑笑.
精致一点丰富一点可爱一点.
再多读些书多记些话.
悦人再多不如悦己.",[]
27,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:10,"刚刚给弟削苹果的时候割到手.
今天去玩的时候鞋磨到了脚.
从早上到现在喷嚏打了好几个.
声音变来变去我大概是感冒了不适合出门.
没有吃晚饭.也有点冷.
我很好.但人不好.",[]
28,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:12,"情人节？
事实上一个人也没觉得不妥在哪里.
主要是因为没有期待吧.
不换名字没有爱人.
所以哪天都是平常.
嘿.薛叔情人节快乐.
今晚见.",[]
29,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:13,"得不到认可是会难过.
但这完全要好过被人评头论足.
我平凡的很.但我拒绝平庸.
我不识抬举你不喜欢不好意思我也不会改.",[]
30,https://tieba.baidu.com/p/5607547232?pn=2,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:14,"我昨天很晚睡.
两点半多一点.
跑去给阿念发了99+.
今早看消息的时候.
发现了阿念发过来的图.
“我舍不得打你”",[]
31,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:15,"又跑到薛叔超话.
看薛叔在辽宁春晚录制的小片段.
东北话版的小风也很赞哦哈哈.
情人节的薛之谦.
热爱至极.♡
同一个朋友圈同一个男朋友.",[]
32,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:17,"哇.追更的漫画集体发糖.
甜到掉牙.
至于我嘛.
就安心的等薛叔了.",[]
33,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:18,"买了一堆吃的在朋友家.
六个人十年以上的友情.
记不得这是第几次和他们一起春节.以前等待春节.
谢谢这样的我们.",[]
34,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:19,"成长必经的过程.
是学会接受.学着放弃.
同行回家的发小是男孩子.
天气很冷他问我要不要跑.
我笑着回绝.黑暗里看不到他的身影.只能听到他的跑步声.
我不会觉得落空也没再自己吓自己.
这是我的成长.",[]
35,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:20,"光着脚踩在冷地上.
凉的直抖.
弟弟一直嚷着让我穿鞋.
奶奶冷嘲热讽说我太热了.
我真是巴不得冻死.
我厌恶这样的人心.
自私贪婪自我.",[]
36,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:22,"还没等到薛叔.
弟弟睡了有一会儿了.
刚和老友聊天他说明天要嗨起来.
我就随意的问了他一句明天连麦嘛.很快答应.
就突然觉得心被塞很满.
其实我们也才认识了不到四年而已.
就要好的这样真的很让人开心.",[]
37,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:23,"过了零点还是没等到薛叔.
除夕快乐吧你.
这长夜无聊还冷.
我再等等.
好的总是在最后.薛叔也是.",[]
38,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:24,"看到薛叔出场的时候.
差点激动的从被窝里跳起来.
超级开心.从情人节等到除夕.
今天的谦谦超帅气哦.
演员和方圆几里.还是最爱的薛之谦.
薛之谦是命.",[]
39,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:25,"跑到那个被封的小号.
发现11个粉丝里有很多是只有我一个关注.
觉得很荣幸又很抱歉.
浪费了他们珍贵的关注.
想方设法的联系他们.
我想我还欠他们一句谢谢.",[]
40,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:27,"有趣的人很多.
半路遇到我都会退避.
毕竟我是一个很无趣的人也再熬不过感情.
若最后都是离开.
那何必认识.",[]
41,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:28,"尽管这个年过得再怎么不好.
这一天好像每个人都会放下情绪.
是一种由心而发兴奋和愉悦语调.
今年只有我们一家和奶奶一起过年.
相比去年少了三个人.
还突然有些羡慕一家人围坐在一起的那种.
新年快乐.你.",[]
42,https://tieba.baidu.com/p/5607547232?pn=3,回复：人工智能，是人类文明的进步！我很看好！,情氹氹,2018-03-21 10:29,"很久不回来的老朋友回来.
我们的对话让我很难过.现在想想亦是如此.
差点又要失去一个他了.
一个两个的离开.
坦白讲我怕.怕身边的每一个人.
这种无助感很差.",[]
